Annee,Mois,Jour,Temp max,Temp min,Temp moy,Pluie tot,Vit. raf. max. 
2007,5,1,15,5,0,2,0
2007,5,2,16,8,3,3,0
2007,5,3,15,1,7,1,0
2007,5,4,10,4,2,2,0
2007,5,5,16,8,4,6,0
2007,5,6,18,4,1,8,0
2007,5,7,21,7,6,1,0
2007,5,8,22,6,4,8,0
2007,5,9,19,1,1,3,0
2007,5,10,14,2,0,5,0
2007,5,11,22,6,2,7,0
2007,5,12,23,7,3,6,0
2007,5,13,13,9,3,5,0
2007,5,14,17,2,3,2,0
2007,5,15,19,3,2,8,0
2007,5,16,23,9,4,4,0
2007,5,17,24,2,6,5,0
2007,5,18,12,5,2,4,0
2007,5,19,11,6,0,9,0
2007,5,20,16,7,3,2,0
2007,5,21,9,9,6,3,0
2007,5,22,16,1,4,1,0
2007,5,23,13,7,1,5,0
2007,5,24,14,3,1,9,0
2007,5,25,13,5,1,4,0
2007,5,26,21,2,5,3,0
2007,5,27,22,2,6,5,0
2007,5,28,17,5,10,0,0
2007,5,29,NA,NA,NA,0,0
2007,5,30,19,9,0,4,0
2007,5,31,22,8,5,2,0
2007,6,1,NA,NA,NA,0,0
2007,6,2,NA,NA,NA,0,0
2007,6,3,NA,NA,NA,0,0
2007,6,4,26,2,10,4,0
2007,6,5,23,8,12,2,0
2007,6,6,NA,NA,NA,0,0
2007,6,7,18,4,1,1,0
2007,6,8,20,6,8,3,0
2007,6,9,21,1,6,6,0
2007,6,10,23,6,10,9,0
2007,6,11,16,6,6,8,0
2007,6,12,14,9,5,1,0
2007,6,13,20,9,7,1,0
2007,6,14,20,4,4,2,0
2007,6,15,20,6,6,6,0
2007,6,16,20,9,6,5,0
2007,6,17,13,1,8,6,0
2007,6,18,21,2,8,9,0
2007,6,19,22,0,8,5,0
2007,6,20,22,9,6,6,0
2007,6,21,29,0,10,9,0
2007,6,22,26,3,8,2,0
2007,6,23,20,8,9,0,0
2007,6,24,19,8,9,6,0
2007,6,25,14,1,9,6,0
2007,6,26,19,7,9,5,0
2007,6,27,20,3,6,5,0
2007,6,28,22,0,10,0,0
2007,6,29,22,3,12,6,0
2007,6,30,23,9,10,0,0
2007,7,1,23,3,8,7,0
2007,7,2,26,0,9,5,0
2007,7,3,28,5,9,9,0
2007,7,4,27,2,11,2,0
2007,7,5,32,7,11,1,0
2007,7,6,24,8,13,3,0
2007,7,7,23,1,10,8,0
2007,7,8,23,4,8,0,0
2007,7,9,18,1,7,0,0
2007,7,10,23,1,7,1,0
2007,7,11,27,2,13,1,0
2007,7,12,30,5,12,3,0
2007,7,13,32,1,15,0,0
2007,7,14,33,8,13,6,0
2007,7,15,33,3,14,9,0
2007,7,16,31,1,14,7,0
2007,7,17,30,4,14,2,0
2007,7,18,30,8,17,2,0
2007,7,19,35,0,20,8,0
2007,7,20,31,0,12,7,0
2007,7,21,30,2,15,6,0
2007,7,22,33,1,11,4,0
2007,7,23,36,0,15,9,0
2007,7,24,27,2,15,6,0
2007,7,25,23,9,9,8,0
2007,7,26,29,7,6,3,0
2007,7,27,33,8,12,9,0
2007,7,28,34,4,12,4,0
2007,7,29,36,1,13,8,0
2007,7,30,27,1,13,3,0
2007,7,31,21,1,8,7,0
2007,8,1,24,7,8,5,0
2007,8,2,31,3,6,0,0
2007,8,3,31,3,13,2,0
2007,8,4,21,9,10,2,0
2007,8,5,25,6,9,7,0
2007,8,6,25,3,10,7,0
2007,8,7,30,9,9,2,0
2007,8,8,19,2,11,3,0
2007,8,9,16,9,9,4,0
2007,8,10,10,9,4,9,0
2007,8,11,20,4,2,7,0
2007,8,12,26,3,8,2,0
2007,8,13,16,7,6,6,0
2007,8,14,22,1,4,4,0
2007,8,15,22,3,5,0,0
2007,8,16,24,5,7,0,0
2007,8,17,21,6,11,5,0
2007,8,18,20,0,7,9,0
2007,8,19,25,4,11,6,0
2007,8,20,21,3,10,9,0
2007,8,21,16,7,7,0,0
2007,8,22,19,1,6,7,0
2007,8,23,19,2,3,4,0
2007,8,24,NA,NA,NA,0,0
2007,8,25,20,0,5,8,0
2007,8,26,14,0,8,2,0
2007,8,27,12,3,4,4,0
2007,8,28,NA,NA,NA,0,0
2007,8,29,NA,NA,NA,0,0
2007,8,30,NA,NA,NA,0,0
2007,8,31,NA,NA,NA,0,0
2007,9,1,19,4,6,1,0
2007,9,2,NA,NA,NA,0,0
2007,9,3,NA,NA,NA,0,0
2007,9,4,NA,NA,NA,0,0
2007,9,5,22,5,8,3,0
2007,9,6,15,5,4,1,0
2007,9,7,14,7,4,4,0
2007,9,8,15,1,1,5,0
2007,9,9,17,8,0,2,0
2007,9,10,21,5,9,5,0
2007,9,11,25,7,8,1,0
2007,9,12,12,4,2,3,0
2007,9,13,14,3,-3,3,0
2007,9,14,22,6,2,3,0
2007,9,15,26,2,3,9,0
2007,9,16,26,6,2,4,0
2007,9,17,15,8,1,9,0
2007,9,18,14,5,0,3,0
2007,9,19,10,0,-5,5,0
2007,9,20,14,0,2,2,0
2007,9,21,18,1,3,6,0
2007,9,22,14,9,1,3,0
2007,9,23,5,6,-3,2,0
2007,9,24,15,3,-5,1,0
2007,9,25,16,1,3,9,0
2007,9,26,16,5,1,2,0
2007,9,27,17,4,2,7,0
2007,9,28,13,4,4,7,0
2007,9,29,11,2,-2,4,0
2007,9,30,16,9,-2,4,0
2007,10,1,14,9,3,4,0
2007,10,2,18,2,1,8,0
2007,10,3,12,1,-1,1,0
2007,10,4,9,5,-7,1,0
2007,10,5,10,2,-6,1,0
2007,10,6,9,0,-2,5,0
2007,10,7,20,9,-1,9,0
2007,10,8,13,3,-3,9,0
2007,10,9,15,6,-5,9,0
2007,10,10,13,5,3,6,0
2007,10,11,15,3,1,2,0
2007,10,12,12,9,-1,7,0
2007,10,13,14,2,-2,9,0
2007,10,14,18,9,0,2,0
2007,10,15,20,8,2,7,0
2007,10,16,17,3,2,1,0
2007,10,17,10,9,0,3,0
2007,10,18,14,6,-1,6,0
2007,10,19,14,4,-4,9,0
2007,10,20,8,5,-1,5,0
2007,10,21,10,0,-2,0,0
2007,10,22,16,6,4,4,0
2007,10,23,12,5,0,4,0
2007,10,24,25,2,1,5,0
2007,10,25,7,7,-2,7,0
2007,10,26,2,8,-9,4,0
2007,10,27,10,1,-7,5,0
2007,10,28,14,5,-1,6,0
2007,10,29,14,7,-3,6,0
2007,10,30,7,0,-3,9,0
2007,10,31,9,0,-4,3,0
2007,11,1,7,6,-1,3,0
2007,11,2,7,5,-4,7,0
2007,11,3,7,3,-1,8,0
2007,11,4,3,1,-4,8,0
2007,11,5,1,9,-11,9,0
2007,11,6,8,6,-4,9,0
2007,11,7,8,0,1,6,0
2007,11,8,5,4,-10,6,0
2007,11,9,6,0,-9,7,0
2007,11,10,8,3,-7,7,0
2007,11,11,7,6,-3,1,0
2007,11,12,9,6,0,7,0
2007,11,13,6,5,0,0,0
2007,11,14,5,2,-7,9,0
2007,11,15,8,1,-7,4,0
2007,11,16,2,3,-9,6,0
2007,11,17,2,6,-10,9,0
2007,11,18,5,5,-5,1,0
2007,11,19,1,9,-8,4,0
2007,11,20,-3,6,-12,1,0
2007,11,21,-3,5,-13,3,0
2007,11,22,3,4,-12,6,0
2007,11,23,3,3,-11,1,0
2007,11,24,3,6,-3,3,0
2007,11,25,1,7,-10,2,0
2007,11,26,-8,8,-19,3,0
2007,11,27,-15,1,-18,9,0
2007,11,28,-13,9,-23,7,0
2007,11,29,-14,1,-23,7,0
2007,11,30,-11,2,-18,0,0
2007,12,1,-15,6,-22,3,NA
2007,12,2,-16,4,-30,4,NA
2007,12,3,-15,2,-18,1,NA
2007,12,4,-15,5,-17,7,NA
2007,12,5,-14,2,-24,5,NA
2007,12,6,-12,3,-21,8,NA
2007,12,7,-11,8,-22,2,NA
2007,12,8,-9,9,-23,7,NA
2007,12,9,-1,6,-17,6,NA
2007,12,10,-3,0,-13,3,NA
2007,12,11,-4,5,-16,4,NA
2007,12,12,0,6,-12,0,NA
2007,12,13,0,7,-11,9,NA
2007,12,14,-2,0,-10,3,NA
2007,12,15,-2,7,-18,6,NA
2007,12,16,0,3,-9,7,NA
2007,12,17,0,8,-11,1,NA
2007,12,18,-3,7,-14,9,NA
2007,12,19,-3,2,-17,3,NA
2007,12,20,-8,0,-16,4,NA
2007,12,21,-8,1,-25,0,NA
2007,12,22,-10,3,-26,2,NA
2007,12,23,-1,3,-10,8,NA
2007,12,24,2,6,-4,8,NA
2007,12,25,0,4,-9,5,NA
2007,12,26,-9,1,-14,9,NA
2007,12,27,-10,5,-12,5,NA
2007,12,28,-9,0,-17,5,NA
2007,12,29,-13,6,-25,7,NA
2007,12,30,-11,9,-24,3,NA
2007,12,31,-5,0,-22,9,NA
2008,1,1,-11,0,-17,3,NA
2008,1,2,4,3,-12,9,NA
2008,1,3,0,7,-10,6,NA
2008,1,4,3,5,-3,2,NA
2008,1,5,4,2,-2,7,NA
2008,1,6,0,1,-7,5,NA
2008,1,7,-3,9,-19,5,NA
2008,1,8,-11,1,-22,6,NA
2008,1,9,-15,0,-23,2,NA
2008,1,10,-12,5,-20,6,NA
2008,1,11,0,9,-19,5,NA
2008,1,12,1,8,-10,1,NA
2008,1,13,2,9,-12,7,NA
2008,1,14,6,2,-6,3,NA
2008,1,15,4,8,-18,9,NA
2008,1,16,-1,2,-19,4,NA
2008,1,17,0,7,-15,2,NA
2008,1,18,-12,0,-26,1,NA
2008,1,19,-11,0,-17,1,NA
2008,1,20,-12,4,-21,1,NA
2008,1,21,-6,2,-20,4,NA
2008,1,22,-1,6,-16,0,NA
2008,1,23,-4,7,-17,3,NA
2008,1,24,NA,-17,4,NA,0
2008,1,25,-10,3,-17,7,NA
2008,1,26,-2,4,-18,7,NA
2008,1,27,-7,9,-27,5,NA
2008,1,28,-27,1,-36,0,NA
2008,1,29,NA,NA,NA,NA,<31
2008,1,30,NA,NA,NA,NA,<31
2008,1,31,-25,4,-30,9,NA
2008,2,1,-19,0,-31,1,NA
2008,2,2,-12,2,-28,3,NA
2008,2,3,-12,8,-26,5,NA
2008,2,4,-15,8,-24,3,NA
2008,2,5,0,0,-21,0,NA
2008,2,6,0,2,-17,8,NA
2008,2,7,-11,5,-24,8,NA
2008,2,8,-11,0,-27,1,NA
